1220.000,471.000,105.000,34.000
1194.490,451.829,117.587,60.884
1175.726,442.442,129.410,68.215
1159.692,431.372,145.157,76.454
1138.909,429.721,138.584,74.011
1125.643,422.067,137.660,73.287
1106.397,413.452,139.517,74.072
1079.915,407.674,142.164,75.418
1066.781,401.803,140.829,75.111
1049.215,390.303,146.351,77.361
1025.541,381.560,154.299,81.458
1009.095,376.655,152.599,81.226
1015.462,366.025,152.203,80.941
1036.381,359.002,153.149,81.419
1068.259,348.044,156.438,82.943
1099.620,342.119,150.973,80.943
1129.720,335.196,146.637,78.069
1159.764,325.641,142.959,76.147
1190.220,313.439,144.188,76.513
1199.796,305.266,148.927,78.954
1175.816,295.884,149.294,79.637
1146.980,293.820,137.246,73.760
1122.267,290.227,120.481,65.111
1111.052,271.199,125.717,66.601
1088.750,260.455,127.960,68.148
1066.794,247.819,133.223,70.752
1045.176,236.651,134.995,72.056
1016.893,233.554,144.943,77.088
1001.355,247.008,146.007,77.490
974.843,262.241,142.702,75.634
956.094,273.539,145.475,76.971
932.863,285.321,146.837,77.475
910.681,301.875,142.774,75.579
890.408,311.356,147.785,77.994
865.891,324.393,150.514,79.579
844.537,338.582,152.028,80.529
818.374,350.129,156.363,82.692
792.919,362.837,155.923,82.554
775.730,378.884,149.658,79.640
754.217,391.723,151.329,80.134
734.251,399.531,146.233,77.916
710.809,392.144,140.525,75.080
686.333,381.253,140.846,74.893
665.173,368.745,143.986,76.413
639.366,361.393,140.555,75.256
612.707,349.911,139.887,74.824
623.105,335.846,145.737,77.024
639.760,324.823,152.698,80.654
664.019,315.996,153.280,81.609
689.709,307.278,147.636,78.948
717.634,300.935,138.103,74.094
740.907,288.262,144.864,76.553
763.269,278.354,145.837,77.318
780.378,266.172,151.225,79.877
815.128,256.221,154.750,81.933
830.650,247.228,156.116,82.881
855.309,241.688,143.990,77.268
878.761,232.665,139.531,74.484
911.125,219.081,145.552,76.810
933.853,208.599,145.116,77.265
962.291,196.255,151.698,80.113
957.059,189.347,158.047,83.885
908.298,177.988,160.442,85.405
891.105,194.670,147.949,79.191
862.538,204.936,147.753,78.540
828.580,220.433,147.266,78.309
